account_id,bank_id,account_type,account_age_days,city,state,location_id,risk_label,mule_risk_score,created_at
ACCA72CD0DA,Union,current,1842,Surat,Gujarat,S03,clean,0.0,2021-08-16T08:00:00
ACCC91F95CF,BOB,savings,631,Delhi,Delhi,D01,clean,0.0,2024-12-09T08:00:00
ACC5F437176,PNB,savings,1983,Hyderabad,Telangana,H01,clean,0.0,2021-03-28T08:00:00
ACC1327C21F,Union,savings,641,Surat,Gujarat,S03,clean,0.0,2024-11-29T08:00:00
ACC09AE52C9,ICICI,savings,1591,Vadodara,Gujarat,V02,clean,0.0,2022-04-24T08:00:00
ACC39752E92,HDFC,current,69,Delhi,Delhi,D04,clean,0.0,2026-06-24T08:00:00
ACCA59F8A5E,Axis,savings,148,Pune,Maharashtra,P02,clean,0.0,2026-04-06T08:00:00
ACC65BAB8F6,HDFC,savings,1025,Surat,Gujarat,S03,clean,0.0,2023-11-11T08:00:00
ACC42E82CDD,Union,savings,1003,Vadodara,Gujarat,V03,clean,0.0,2023-12-03T08:00:00
ACC53B39711,Union,savings,463,Pune,Maharashtra,P04,clean,0.0,2025-05-26T08:00:00
ACC6831ED55,Kotak,prepaid,1405,Pune,Maharashtra,P04,clean,0.0,2022-10-27T08:00:00
ACC8F30389F,Axis,savings,537,Hyderabad,Telangana,H01,clean,0.0,2025-03-13T08:00:00
ACC32B6DFC5,Union,savings,1234,Delhi,Delhi,D01,clean,0.0,2023-04-16T08:00:00
ACCEBA55FB9,SBI,savings,175,Mumbai,Maharashtra,M01,clean,0.0,2026-03-10T08:00:00
ACC8C643FE2,Kotak,savings,1790,Surat,Gujarat,S01,clean,0.0,2021-10-07T08:00:00
ACCB42617A7,Canara,savings,1400,Mumbai,Maharashtra,M03,clean,0.0,2022-11-01T08:00:00
ACC775C5645,Yes Bank,prepaid,1945,Vadodara,Gujarat,V03,clean,0.0,2021-05-05T08:00:00
ACC4674370C,BOB,savings,998,Mumbai,Maharashtra,M07,clean,0.0,2023-12-08T08:00:00
ACC949CF145,BOB,current,1379,Surat,Gujarat,S01,clean,0.0,2022-11-22T08:00:00
ACCEF963BFE,SBI,savings,986,Bengaluru,Karnataka,B04,clean,0.0,2023-12-20T08:00:00
ACCE3AE6D67,Kotak,savings,1521,Ahmedabad,Gujarat,A04,clean,0.0,2022-07-03T08:00:00
ACC7B9D7097,Union,prepaid,419,Mumbai,Maharashtra,M02,clean,0.0,2025-07-09T08:00:00
