complaint_id,timestamp,crime_type,amount,victim_id,victim_location_id,victim_bank,status,scenario_tag
CMPE37BA634,2026-09-01T23:17:30.558333,Job Scam,73596.69,VICB4E814FC,A02,PNB,open,SCN0A2EB592
CMP39945B1B,2026-09-01T14:22:33.046035,Job Scam,64689.73,VIC706D4759,H02,BOB,open,SCN7437046A
CMP5772350F,2026-09-02T00:09:06.905560,Loan Fraud,20337.35,VICC4FA485F,B02,BOB,open,SCNA164E9D7
CMP352FF219,2026-09-02T01:12:06.905560,OTP Fraud,20337.35,VIC7D4C5D99,B02,Axis,open,SCNA164E9D7
CMP946B121D,2026-09-02T01:30:06.905560,OTP Fraud,20337.35,VIC0A3613B6,B01,Yes Bank,open,SCNA164E9D7
CMP3AD30B04,2026-09-02T01:49:06.905560,Lottery Fraud,20337.35,VIC176DD7B1,B02,Axis,open,SCNA164E9D7
CMP52D1E367,2026-09-02T01:16:06.905560,Job Scam,20337.35,VIC47817E66,B03,Kotak,open,SCNA164E9D7
CMPBF3833F9,2026-09-01T19:36:54.842393,Investment Scam,96382.97,VIC506CFD36,V01,HDFC,open,SCNE19EDF32
CMP19DF10EA,2026-09-01T21:29:14.803305,Investment Scam,30601.94,VIC453A0B06,M05,ICICI,open,SCN692E14D9
CMPE97FD402,2026-09-01T22:16:14.803305,Loan Fraud,30601.94,VIC3B745343,M03,Canara,open,SCN692E14D9
CMPFF621FFA,2026-09-01T22:59:14.803305,Lottery Fraud,30601.94,VIC14AE4FF1,M02,Yes Bank,open,SCN692E14D9
CMPC4AF3FD2,2026-09-01T22:37:14.803305,Lottery Fraud,30601.94,VIC8B9D2B74,M02,BOB,open,SCN692E14D9
CMP3DC5547E,2026-09-01T23:43:14.803305,OTP Fraud,30601.94,VIC0E82C8B8,M04,Union,open,SCN692E14D9
CMP20A24624,2026-09-02T04:28:36.092468,Lottery Fraud,63954.01,VIC14061333,M02,SBI,open,SCN940F6F8B
CMP1A858819,2026-09-02T04:49:25.308345,Investment Scam,68412.76,VICC6B065A2,D03,ICICI,open,SCNB32CE6F6
CMPE392B38E,2026-09-02T16:52:51.986019,Job Scam,116712.26,VIC7A3D886D,V02,Yes Bank,open,SCN22E20A78
CMP9B1F790E,2026-09-02T22:07:04.627563,OTP Fraud,49550.24,VICDA94B851,A05,Axis,open,SCNE926E60A
CMP98468989,2026-09-02T16:37:11.266299,Loan Fraud,97308.86,VIC4ECD28AE,A03,HDFC,open,SCN3E7FA213
CMPD0EA68F6,2026-09-03T04:39:26.966250,UPI Fraud,87744.74,VICEB6C9922,S01,Union,open,SCNFEA5C703
CMPB12A8368,2026-09-03T00:20:46.169091,UPI Fraud,48839.48,VIC5EF8B446,D02,ICICI,open,SCN5E5B904E
CMP9FA51AB2,2026-09-03T14:37:28.956111,Job Scam,139948.12,VIC7236DA4F,A01,SBI,open,SCNDF693767
CMP64334693,2026-09-03T10:53:31.486573,Lottery Fraud,76155.27,VICE0AEAF2F,A05,Axis,open,SCNE435C6D2
CMP9A06785E,2026-09-03T18:10:23.665969,UPI Fraud,75295.29,VIC7DEB2426,A01,HDFC,open,SCND9337231
CMPD3E0D449,2026-09-03T14:05:46.101827,OTP Fraud,24338.45,VICBAFFFC4C,A01,Yes Bank,open,SCN043586D4
