scenario_id,type,victim_city,cashout_city,terminal_account_city,delay_hours,ground_truth_location,ground_truth_time,prediction_cutoff,n_victims,n_hops,hop_cities
SCN0A2EB592,E,Ahmedabad,Mumbai,Mumbai,17.38051007502928,M06,2026-09-02T16:25:20.394603,2026-09-01T23:17:30.558333,,,
SCN7437046A,H,Hyderabad,Pune,Pune,,P04,2026-09-01T14:56:46.088309,2026-09-01T14:22:33.046035,,,
SCNA164E9D7,B,Bengaluru,Surat,Surat,,S02,2026-09-02T03:35:49.845182,2026-09-02T01:49:06.905560,5.0,,
SCNE19EDF32,H,Vadodara,Mumbai,Mumbai,,M06,2026-09-01T20:57:44.814551,2026-09-01T19:36:54.842393,,,
SCN692E14D9,B,Mumbai,Surat,Surat,,S03,2026-09-02T03:22:41.998374,2026-09-01T23:43:14.803305,5.0,,
SCN940F6F8B,E,Mumbai,Vadodara,Vadodara,17.8744352302024,V01,2026-09-02T22:12:04.059297,2026-09-02T04:28:36.092468,,,
SCNB32CE6F6,A,Delhi,Bengaluru,Bengaluru,,B02,2026-09-02T05:52:08.416270,2026-09-02T04:49:25.308345,,,
SCN22E20A78,D,Vadodara,Mumbai,Mumbai,,M05,2026-09-02T19:54:35.450738,2026-09-02T16:52:51.986019,,2.0,"['Delhi', 'Mumbai']"
SCNE926E60A,D,Ahmedabad,Pune,Pune,,P02,2026-09-02T23:30:40.765963,2026-09-02T22:07:04.627563,,2.0,"['Vadodara', 'Pune']"
SCN3E7FA213,A,Ahmedabad,Hyderabad,Hyderabad,,H01,2026-09-02T17:57:26.690080,2026-09-02T16:37:11.266299,,,
SCNFEA5C703,H,Surat,Ahmedabad,Ahmedabad,,A02,2026-09-03T04:40:36.342025,2026-09-03T04:39:26.966250,,,
SCN5E5B904E,A,Delhi,Ahmedabad,Ahmedabad,,A05,2026-09-03T03:01:52.619415,2026-09-03T00:20:46.169091,,,
SCNDF693767,C,Ahmedabad,Mumbai,Mumbai,,M04,2026-09-03T17:50:19.441468,2026-09-03T14:37:28.956111,,3.0,"['Hyderabad', 'Vadodara', 'Mumbai']"
SCNE435C6D2,C,Ahmedabad,Mumbai,Mumbai,,M02,2026-09-03T15:39:12.120605,2026-09-03T10:53:31.486573,,2.0,"['Vadodara', 'Mumbai']"
SCND9337231,D,Ahmedabad,Mumbai,Mumbai,,M04,2026-09-03T21:30:09.589728,2026-09-03T18:10:23.665969,,2.0,"['Delhi', 'Mumbai']"
SCN043586D4,F,Ahmedabad,,,,,,2026-09-03T14:05:46.101827,,,
SCN2D412D48,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-03T23:39:09.496047,2026-09-03T18:42:14.815499,,3.0,"['Vadodara', 'Hyderabad', 'Mumbai']"
SCNBF4F90F5,A,Pune,Surat,Surat,,S03,2026-09-03T14:42:02.274516,2026-09-03T11:56:39.517908,,,
SCN26B735EA,B,Delhi,Ahmedabad,Ahmedabad,,A02,2026-09-03T20:58:47.124595,2026-09-03T17:12:49.004113,4.0,,
SCN84533571,C,Ahmedabad,Mumbai,Mumbai,,M05,2026-09-04T10:28:19.429046,2026-09-04T04:27:33.795777,,3.0,"['Vadodara', 'Pune', 'Mumbai']"
SCN1E1944A6,A,Bengaluru,Pune,Pune,,P04,2026-09-04T06:20:19.126855,2026-09-04T03:40:25.182883,,,
SCNE14CD5C5,F,Hyderabad,,,,,,2026-09-04T06:37:43.533260,,,
SCNCD62F610,C,Ahmedabad,Mumbai,Mumbai,,M07,2026-09-04T16:02:17.235960,2026-09-04T12:17:33.241167,,3.0,"['Delhi', 'Vadodara', 'Mumbai']"
SCN9CC762E8,B,Pune,Surat,Surat,,S03,2026-09-04T22:10:29.430167,2026-09-04T20:10:34.396777,3.0,,
SCN58897248,A,Mumbai,Bengaluru,Bengaluru,,B04,2026-09-04T14:29:29.764450,2026-09-04T12:44:42.941726,,,
SCN959F0E18,B,Vadodara,Pune,Pune,,P04,2026-09-04T18:04:08.156629,2026-09-04T14:59:03.359960,4.0,,
SCN8A0575F7,H,Bengaluru,Ahmedabad,Ahmedabad,,A01,2026-09-05T09:52:07.616491,2026-09-05T08:38:13.482236,,,
SCN197AB5B8,A,Bengaluru,Hyderabad,Hyderabad,,H03,2026-09-05T05:10:59.822267,2026-09-05T03:50:06.507353,,,
SCN58296237,A,Delhi,Surat,Surat,,S03,2026-09-05T16:56:49.148907,2026-09-05T16:09:05.821781,,,
SCNE7F6CC1E,F,Vadodara,,,,,,2026-09-05T05:11:57.338767,,,
SCNC86E61F3,D,Surat,Pune,Pune,,P04,2026-09-05T07:20:27.934517,2026-09-05T05:49:38.914048,,2.0,"['Ahmedabad', 'Pune']"
SCN84B3465C,D,Vadodara,Pune,Pune,,P01,2026-09-05T16:28:00.900699,2026-09-05T13:21:15.843337,,2.0,"['Mumbai', 'Pune']"
SCN57590358,A,Delhi,Vadodara,Vadodara,,V02,2026-09-05T14:05:11.480716,2026-09-05T12:13:39.895753,,,
SCN94C53003,H,Surat,Vadodara,Vadodara,,V03,2026-09-05T19:18:19.066937,2026-09-05T18:33:17.605207,,,
SCN1430A9F8,A,Surat,Delhi,Delhi,,D01,2026-09-06T10:52:51.569156,2026-09-06T09:48:31.516394,,,
