transaction_id,timestamp,source_account_id,dest_account_id,amount,transaction_type,channel,location_id,scenario_id
TXN05687C89,2026-09-01T23:02:30.558333,VICB4E814FC,MULE3B9FF15,70652.82,NEFT,mobile,A02,SCN0A2EB592
TXNA2972CFB,2026-09-01T13:31:33.046035,VIC706D4759,MUL3E5F09C1,9703.46,IMPS,mobile,H01,SCN7437046A
TXN119660B5,2026-09-01T13:43:33.046035,VIC706D4759,MULE5733E0D,51751.78,NEFT,mobile,H03,SCN7437046A
TXN93EE4451,2026-09-01T23:52:06.905560,VICC4FA485F,MULBD19354C,19727.23,NEFT,mobile,B01,SCNA164E9D7
TXNDFC16FFD,2026-09-02T00:29:06.905560,VIC7D4C5D99,MULBD19354C,19727.23,UPI,net_banking,B04,SCNA164E9D7
TXNE7A460DD,2026-09-02T01:14:06.905560,VIC0A3613B6,MULBD19354C,19727.23,IMPS,net_banking,B01,SCNA164E9D7
TXNACAA4408,2026-09-02T01:03:06.905560,VIC176DD7B1,MULBD19354C,19727.23,UPI,net_banking,B04,SCNA164E9D7
TXN94C693BB,2026-09-02T00:54:06.905560,VIC47817E66,MULBD19354C,19727.23,UPI,net_banking,B04,SCNA164E9D7
TXN2D474C3E,2026-09-02T02:23:48.411000,MULBD19354C,MUL08727AD6,85111.81,UPI,net_banking,B03,SCNA164E9D7
TXN55C178C7,2026-09-01T19:16:54.842393,VIC506CFD36,MULF2735D05,14457.45,NEFT,net_banking,V03,SCNE19EDF32
TXNDD42C6CC,2026-09-01T19:20:54.842393,VIC506CFD36,MULF2E43050,77106.38,UPI,mobile,V01,SCNE19EDF32
TXN020F9317,2026-09-01T20:53:14.803305,VIC453A0B06,MUL59DE1BA5,29683.88,IMPS,net_banking,M02,SCN692E14D9
TXNA6C360F7,2026-09-01T21:39:14.803305,VIC3B745343,MUL59DE1BA5,29683.88,IMPS,net_banking,M01,SCN692E14D9
TXN2FD6007A,2026-09-01T22:30:14.803305,VIC14AE4FF1,MUL59DE1BA5,29683.88,IMPS,mobile,M02,SCN692E14D9
TXND734471C,2026-09-01T21:49:14.803305,VIC8B9D2B74,MUL59DE1BA5,29683.88,NEFT,mobile,M05,SCN692E14D9
TXNE9C98740,2026-09-01T22:53:14.803305,VIC0E82C8B8,MUL59DE1BA5,29683.88,IMPS,mobile,M05,SCN692E14D9
TXN8FD35C8D,2026-09-02T01:06:32.212182,MUL59DE1BA5,MUL74AD94CC,128069.12,NEFT,net_banking,M01,SCN692E14D9
TXND2469A5D,2026-09-02T04:19:36.092468,VIC14061333,MUL0F66D96B,61395.85,UPI,mobile,M03,SCN940F6F8B
TXN36282475,2026-09-02T04:21:25.308345,VICC6B065A2,MULC7184748,64992.12,UPI,net_banking,D03,SCNB32CE6F6
TXN6BF83E36,2026-09-02T16:15:51.986019,VIC7A3D886D,MUL87191BEA,107392.21,NEFT,net_banking,V03,SCN22E20A78
TXN3711414A,2026-09-02T16:56:51.986019,MUL87191BEA,MULAC7CDAF6,96259.52,UPI,mobile,D02,SCN22E20A78
TXN615DE8A7,2026-09-02T21:20:04.627563,VICDA94B851,MUL7E2CD3FA,46834.27,NEFT,mobile,A02,SCNE926E60A
TXN07899E82,2026-09-02T21:31:04.627563,MUL7E2CD3FA,MULF01EE0A9,41677.97,NEFT,mobile,V01,SCNE926E60A
TXN4DCA4547,2026-09-02T16:28:11.266299,VIC4ECD28AE,MULAADEC560,92443.42,IMPS,net_banking,A03,SCN3E7FA213
TXN11510AC1,2026-09-03T04:02:26.966250,VICEB6C9922,MUL6A5E7ADE,13161.71,IMPS,mobile,S02,SCNFEA5C703
TXN8FDE7BDA,2026-09-03T04:01:26.966250,VICEB6C9922,MUL4A0627BD,70195.79,UPI,mobile,S02,SCNFEA5C703
TXN18F43101,2026-09-03T00:23:46.169091,VIC5EF8B446,MUL994BA03F,46397.51,NEFT,net_banking,D02,SCN5E5B904E
TXN74620CD0,2026-09-03T13:59:28.956111,VIC7236DA4F,MULF58A7F7C,124579.68,NEFT,net_banking,A04,SCNDF693767
TXNEDD02835,2026-09-03T14:20:28.956111,MULF58A7F7C,MUL1F1CAE19,118235.86,IMPS,net_banking,H02,SCNDF693767
TXN0288347D,2026-09-03T14:38:28.956111,MUL1F1CAE19,MUL61ED7297,112583.32,UPI,net_banking,V03,SCNDF693767
TXN68F04385,2026-09-03T10:41:31.486573,VICE0AEAF2F,MULC4C17A72,70264.92,UPI,mobile,A02,SCNE435C6D2
TXND9C1E8AF,2026-09-03T11:20:31.486573,MULC4C17A72,MUL60081CC7,62744.65,IMPS,mobile,V03,SCNE435C6D2
TXN94812E9F,2026-09-03T17:53:23.665969,VIC7DEB2426,MUL05B94DD4,67217.23,UPI,mobile,A02,SCND9337231
TXN7ECF634B,2026-09-03T18:51:23.665969,MUL05B94DD4,MULFA93AA62,60254.75,NEFT,net_banking,D02,SCND9337231
TXN511A6BE0,2026-09-03T14:10:46.101827,VICBAFFFC4C,MULFB07F4C3,23121.53,NEFT,net_banking,A04,SCN043586D4
