withdrawal_id,timestamp,account_id,location_id,amount,atm_id,scenario_id,is_ground_truth
WDRC4CA0B31,2026-09-02T16:25:20.394603,MULE3B9FF15,M06,66237.02,ATM-M06-05,SCN0A2EB592,True
WDR32A1E0A1,2026-09-01T14:56:46.088309,MULE5733E0D,P04,48517.3,ATM-P04-05,SCN7437046A,True
WDR30E5C8FE,2026-09-02T03:35:49.845182,MUL08727AD6,S02,80535.91,ATM-S02-10,SCNA164E9D7,True
WDRDAF0DD5C,2026-09-01T20:57:44.814551,MULF2E43050,M06,72287.23,ATM-M06-02,SCNE19EDF32,True
WDR0E77CA05,2026-09-02T03:22:41.998374,MUL74AD94CC,S03,121183.68,ATM-S03-09,SCN692E14D9,True
WDRF9757BBF,2026-09-02T22:12:04.059297,MUL0F66D96B,V01,57558.61,ATM-V01-09,SCN940F6F8B,True
WDRECD719CF,2026-09-02T05:52:08.416270,MULC7184748,B02,61571.48,ATM-B02-01,SCNB32CE6F6,True
WDRAD2E1AD4,2026-09-02T19:54:35.450738,MULAC7CDAF6,M05,86633.57,ATM-M05-03,SCN22E20A78,True
WDR73C8ECCA,2026-09-02T23:30:40.765963,MULF01EE0A9,P02,37510.17,ATM-P02-02,SCNE926E60A,True
WDRBFC98813,2026-09-02T17:57:26.690080,MULAADEC560,H01,87577.97,ATM-H01-09,SCN3E7FA213,True
WDR633E7E62,2026-09-03T04:40:36.342025,MUL4A0627BD,A02,65808.56,ATM-A02-05,SCNFEA5C703,True
WDR3E3C4E1D,2026-09-03T03:01:52.619415,MUL994BA03F,A05,43955.53,ATM-A05-06,SCN5E5B904E,True
WDR6169AEF8,2026-09-03T17:50:19.441468,MUL61ED7297,M04,101324.99,ATM-M04-09,SCNDF693767,True
WDR2389ADE3,2026-09-03T15:39:12.120605,MUL60081CC7,M02,56470.18,ATM-M02-01,SCNE435C6D2,True
WDR4774493B,2026-09-03T21:30:09.589728,MULFA93AA62,M04,54229.28,ATM-M04-06,SCND9337231,True
WDRCA2E2E39,2026-09-03T23:39:09.496047,MULE8BF2D51,M05,83910.8,ATM-M05-06,SCN2D412D48,True
WDR3B419376,2026-09-03T14:42:02.274516,MUL5E9C6222,S03,56992.89,ATM-S03-08,SCNBF4F90F5,True
WDR287AA64E,2026-09-03T20:58:47.124595,MULE3640880,A02,48460.14,ATM-A02-05,SCN26B735EA,True
WDRB1B78486,2026-09-04T10:28:19.429046,MULBE1BA679,M05,107773.62,ATM-M05-06,SCN84533571,True
WDR1E44028A,2026-09-04T06:20:19.126855,MUL9FA1D7FB,P04,50406.64,ATM-P04-02,SCN1E1944A6,True
WDREB347571,2026-09-04T16:02:17.235960,MUL95E08BF7,M07,85331.74,ATM-M07-04,SCNCD62F610,True
WDR0F9C18ED,2026-09-04T22:10:29.430167,MULFFDF8CCC,S03,43327.41,ATM-S03-06,SCN9CC762E8,True
WDR56FB910B,2026-09-04T14:29:29.764450,MULA3BA0428,B04,59532.22,ATM-B04-06,SCN58897248,True
WDR967FA394,2026-09-04T18:04:08.156629,MULCD06102D,P04,88891.7,ATM-P04-01,SCN959F0E18,True
WDR3AD9EE4D,2026-09-05T09:52:07.616491,MUL1C9F18A4,A01,23315.32,ATM-A01-03,SCN8A0575F7,True
